 Thu, 19 Sep 2019 15:32:42  INFO logger.py <module> [ line:24 ] hehehe
 Thu, 19 Sep 2019 15:32:55  INFO basepage.py wait_ele_visible [ line:36 ] 等待 首页_点击我的柠檬按钮  元素  ('id', 'com.lemon.lemonban:id/navigation_my') 可见成功。耗时：0:00:03.213468
 Thu, 19 Sep 2019 15:32:55  INFO basepage.py get_element [ line:73 ] 查找  首页_点击我的柠檬按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_my') 成功！
 Thu, 19 Sep 2019 15:32:55  INFO basepage.py click_element [ line:97 ] 点击  首页_点击我的柠檬按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_my') 成功！
 Thu, 19 Sep 2019 15:32:56  INFO basepage.py wait_ele_visible [ line:36 ] 等待 登陆页_点击登陆头像  元素  ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_layout') 可见成功。耗时：0:00:00.707386
 Thu, 19 Sep 2019 15:32:56  INFO basepage.py get_element [ line:73 ] 查找  登陆页_点击登陆头像 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_layout') 成功！
 Thu, 19 Sep 2019 15:32:56  INFO basepage.py click_element [ line:97 ] 点击  登陆页_点击登陆头像 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_layout') 成功！
 Thu, 19 Sep 2019 15:32:57  INFO basepage.py wait_ele_visible [ line:36 ] 等待 登陆页_输入用户名  元素  ('id', 'com.lemon.lemonban:id/et_mobile') 可见成功。耗时：0:00:01.463062
 Thu, 19 Sep 2019 15:32:57  INFO basepage.py get_element [ line:73 ] 查找  登陆页_输入用户名 元素 ('id', 'com.lemon.lemonban:id/et_mobile') 成功！
 Thu, 19 Sep 2019 15:32:58  INFO basepage.py input_text [ line:110 ] 在 登陆页_输入用户名 元素 ('id', 'com.lemon.lemonban:id/et_mobile') 上输入文本值：18684720553 成功！
 Thu, 19 Sep 2019 15:32:58  INFO basepage.py wait_ele_visible [ line:36 ] 等待 登陆页_输入密码  元素  ('id', 'com.lemon.lemonban:id/et_password') 可见成功。耗时：0:00:00.515377
