"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 16:31:06 CST 2019","Thu Nov 21 16:31:44 CST 2019","37836","Testcases","test_2buy","TestLogin","","","测试购物车结算","这是定制片加入购物车的成功用例"
"passed","Thu Nov 21 11:12:26 CST 2019","Thu Nov 21 11:12:52 CST 2019","25783","Testcases","test_1registered","TestLogin","","","test_login2",""
"passed","Thu Nov 21 16:30:47 CST 2019","Thu Nov 21 16:30:58 CST 2019","10746","Testcases","test_2buy","TestLogin","","","测试镜片加入购物车","这是镜片加入购物车的成功用例"
"passed","Thu Nov 21 16:30:25 CST 2019","Thu Nov 21 16:30:36 CST 2019","10879","Testcases","test_2buy","TestLogin","","","测试定制片加入购物车","这是定制片加入购物车的成功用例"
"passed","Thu Nov 21 16:30:05 CST 2019","Thu Nov 21 16:30:17 CST 2019","12008","Testcases","test_2buy","TestLogin","","","测试隐形眼镜加入购物车","这是隐形眼镜加入购物车的成功用例"
"passed","Thu Nov 21 16:30:58 CST 2019","Thu Nov 21 16:31:06 CST 2019","8280","Testcases","test_2buy","TestLogin","","","测试购物车结算","这是普通片加入购物车的成功用例"
"passed","Thu Nov 21 16:30:17 CST 2019","Thu Nov 21 16:30:25 CST 2019","8571","Testcases","test_2buy","TestLogin","","","测试护理液加入购物车","这是护理液加入购物车的成功用例"
"passed","Thu Nov 21 16:29:57 CST 2019","Thu Nov 21 16:30:05 CST 2019","7581","Testcases","test_2buy","TestLogin","","","测试登录正常","这是验证码登录的成功用例"
"passed","Mon Nov 18 14:40:16 CST 2019","Mon Nov 18 14:40:17 CST 2019","1143","Testcases","test_2buy","TestLogin","","","test_go_purchase_order",""
"passed","Thu Nov 21 16:30:36 CST 2019","Thu Nov 21 16:30:47 CST 2019","10881","Testcases","test_2buy","TestLogin","","","测试伴侣盒加入购物车","这是伴侣盒加入购物车的成功用例"
"passed","Thu Nov 21 16:31:44 CST 2019","Thu Nov 21 16:31:51 CST 2019","7140","Testcases","test_2buy","TestLogin","","","测试取消订单","这是取消采购中心订单的成功用例"
